,spot,timestamp,reporter,reporter_grid,snr,frequency,tx_call,tx_grid,power,drift,distance,azimuth,band,version,code
16551002,1105822479,1521249360,EA3IW-3,JN02xj,-18,0.475652,EA3AER,JN12kd,30,0,80,291,0,2.0_r1714,0
23151899,1112432345,1521866520,EA8BFK,IL38bo,-13,7.040077,M0KWN,IO90,23,0,2661,209,7,,0
17072553,1106343067,1521293640,DL0HT,JO43jb,-22,14.097081,DL3AO,JN48,23,0,510,359,14,,0
30290761,1119668966,1522526040,DL6OW-R,JO31kk,-24,1.8381040000000002,DL3GAK,JN48xe,30,0,424,330,1,,0
27567697,1116920826,1522292400,DC0DX/2,JO31lk,-14,0.4758,LA2XPA,JP33wi,30,0,1326,183,0,,0
8493675,1097690531,1520573160,SWLNXZ,FN13co,-19,10.14021,AA7FV,DM42pg,30,-1,3123,57,10,1.6.0-deve,0
26033210,1115361733,1522135320,K7LOL,DM43ah,-7,3.570101,N3GX,FM16ur,37,0,3251,274,3,1.8.0,0
20473045,1109747586,1521623280,K9DZT,EN52wx,-11,7.0400149999999995,WD4AH,EL89rt,33,1,1546,343,7,1.8.0-rc3,0
24661935,1113951391,1521995160,DL4XJ,JO42un,2,7.0401679999999995,DH5RAE,JN68qv,33,1,482,329,7,1.8.0,0
1535228,1090689955,1519996200,SM0EPX/RX2,JO89si,-16,10.140265,OK2UGG,JN89do,23,0,1087,4,10,1.6.0,0
4473231,1093646484,1520239440,EA8BFK,IL38bo,2,14.097104999999999,LA4YGA,JO48be,33,0,3701,217,14,,0
376473,1089518362,1519897920,NN4EE,EM83gv,-28,7.040017999999999,WB6DOC,DM04wc,37,0,3180,81,7,1.8.0,0
16886599,1106155721,1521279720,DL1GCD/1,JN48ar,-23,3.5941050000000003,ON7DY,JO20ow,23,0,319,139,3,,0
21315020,1110597654,1521709320,EA8BFK,IL38bo,-19,10.140227000000001,OZ7IT,JO65df,37,0,3623,226,10,,0
28184503,1117549513,1522350960,SM4JST/RX1,JO79,2,3.594096,HB3YYW,JN36ut,37,0,1487,16,3,1.2 Kiwi,0
7642211,1096839029,1520503800,SV8RV,KM07ks,2,10.140281,IZ4LXP,JN54lg,37,-1,1101,128,10,1.8.0,0
5373162,1094552372,1520320800,SWLJO43,JO43xh,-18,1.8381919999999998,DK1BN/P,JO30tn,40,0,345,27,1,1.2 Kiwi,0
16242871,1105501457,1521222120,DD3JW,JO62sk,-11,3.594118,OZ7IT,JO65df,37,0,321,165,3,1.8.0,0
21228514,1110512395,1521700440,N2HQI,FN13sa,-24,7.040067,W1VR,EL98it,20,0,1638,14,7,1.7.0,0
7380692,1096568387,1520479920,DL5XL,JO43gi,-26,1.838027,G4FKK,IO91,20,0,682,68,1,,0
29634306,1119015988,1522475760,N2NOM,FN22bg,8,3.5940589999999997,AJ8S,EM89bt,33,0,724,65,3,1.9.0-rc3,0
30034540,1119414531,1522508880,M6GQU,IO91tm,-18,10.140261,LB8FH,JP50og,37,0,1208,222,10,,0
18738418,1108011293,1521442200,LX1DQ,JN39cq,-19,3.594151,G0CSK,IO93,27,0,654,127,3,1.2 Kiwi,0
4604981,1093779957,1520251200,PA3JT,JO21gu,-18,14.097066,G0VXG,JM29,30,-1,1376,359,14,2.11_r2263,0
18394721,1107664617,1521403560,DK6UG,JN49cm,-16,7.040119,YO3OV,KN34bj,30,0,1470,299,7,,0
15744528,1105004319,1521180720,WA4DT,EM94lx,-1,7.0400990000000006,W5KCM,EM13jg,30,0,1499,78,7,1.9.0-rc2,0
4181666,1093347909,1520208480,AA7NM,CN86ox,-28,10.140279,K3RWR,FM18qi,0,0,3835,300,10,1.9.0-rc2,0
29223242,1118595992,1522437240,M0XDK,IO92ne,-11,7.040153,EA5AU,IM99tl,37,-1,1414,359,7,,0
7231639,1096414707,1520464920,DF2NV,JN59mo,6,1.838193,DK1BN/P,JO30tn,40,0,266,112,1,2.0_r1714,0
1781404,1090936763,1520013240,JA5NVN,PM74ec,-28,7.040157000000001,SP5XSB,KO02ld,40,0,8458,52,7,1.9.0-rc2,0
11362680,1100572929,1520830560,SV1DAR,KM17vx,-24,7.0400529999999995,ON4BWT,JO10wv,27,0,2124,125,7,1.8.0-rc1,0
17987833,1107259209,1521377400,DL1KAI,JO42vj,-18,14.097056,IT9YBG,JM78se,33,2,1641,346,14,1.8.0,0
8145260,1097338789,1520542200,DH5RAE,JN68qv,-28,0.475641,G8HUH,IO81mg,30,0,1192,96,0,,0
2143703,1091297919,1520043000,N2NOM,FN22bg,-20,7.040159,N8VIM,FN42fq,37,-4,358,264,7,1.9.0-rc2,0
8740068,1097937588,1520591880,KA7OEI,DN40,-23,3.59409,KN8DMK,EM89oo,33,0,2397,281,3,1.2 Kiwi,0
18886224,1108158236,1521455400,DK6UG,JN49cm,3,7.040050999999999,M6TTZ,IO92sp,33,0,697,116,7,,0
15179867,1104430572,1521130200,G4ZFQ,IO90ir,-21,14.097081,M0JRC,IO90,20,0,33,328,14,1.7.0,0
11272254,1100483148,1520819760,VK2ZMT,QF57ua,-21,7.040100999999999,VK1MIC,QF44nt,33,0,342,45,7,1.8.0,0
7919475,1097116344,1520526120,M0XDK,IO92ne,-28,7.04007,DJ2AG,JN48pw,37,-1,803,301,7,,0
27206190,1116552594,1522256280,G2HFR,JO02ak,-24,7.040069,DF1XC,JO71bt,23,0,962,280,7,,0
6989127,1096170205,1520446920,DH5RAE,JN68qv,-17,7.040057000000001,G0AZQ,IO94ta,23,0,1107,115,7,,0
9786328,1098989477,1520675400,IZ4LXP,JN54lg,-25,7.0401929999999995,G8EPA,IO91vt,27,-1,1178,131,7,1.8.0,0
18474376,1107743605,1521409320,WB0OEW,DM42ki,-16,10.140191,W3GXT,FM19ol,37,2,3171,266,10,1.8.0,0
29298079,1118670076,1522442400,DG7RJ,JN58th,7,7.04011,2E0RET,IO93hg,37,0,1065,116,7,,0
1717992,1090872952,1520009400,W1GJM,FN42di,-18,14.097179999999998,K9YWO,EN61fn,30,0,1310,81,14,1.8.0,0
26392541,1116047273,1522170360,AA9GE,EN50gq,-27,14.097170000000002,WA1DLZ,FN54bp,27,-3,1656,261,14,,0
4380542,1093545097,1520231160,M1GEO,JO02ok,-24,3.5941330000000002,PI4CC,JO21bx,23,0,205,286,3,,0
10432384,1099637372,1520747280,IU1DZZ,JN45hk,-14,14.097093,4Z4TJ,KM71jf,27,-3,2756,312,14,1.8.0,0
4827707,1094000862,1520270640,W0ZQ,EN34it,-1,10.14017,KN8DMK,EM89oo,33,-1,1040,307,10,1.8.0-rc2,0
18934676,1108208128,1521459240,VK6CQ,OF78wa,-23,7.0401050000000005,W4WAC,CN82hm,37,0,14751,262,7,2.0_r1714,0
11693865,1100904031,1520857800,KC2STA1,FN22vx,-19,14.09704,DB9AZ,JO43vn,37,0,5956,295,14,1.8.0,0
15876580,1105138076,1521192960,LX1DQ,JN39cq,-18,3.594155,DM2PE,JO44,33,0,565,201,3,1.2 Kiwi,0
26848376,1116194968,1522221000,KA9OKH,EM67fx,-25,0.47575100000000003,WA4SZE,EM65,23,0,282,351,0,1.8.0,0
26489571,1115821569,1522178760,EI3RCW,IO62kf,-7,7.040108999999999,DF5CT,JN58lh,30,0,1353,296,7,1.8.0,0
30392639,1119773954,1522533720,F/PE3ES,JN28uw,-10,3.5940230000000004,DK8JP,JO31gk,30,0,284,192,3,1.9.0-rc3,0
28012724,1117365609,1522338360,DF5FH,JO42um,-18,7.040178999999999,LB8FH,JP50og,27,0,867,187,7,,0
22488512,1111771194,1521810840,DL0HT,JO43jb,-19,10.140191999999999,IZ3XDX,JN55vj,20,0,880,347,10,,0
12678384,1101910778,1520942760,DC5AL-R,JO31lk,-30,7.040147999999999,EA4URA,IN80ci,20,0,1484,30,7,,0
13332918,1102576646,1520990160,K7GXB,DM34sn,-15,14.097031,KF5VMJ,EM15,20,0,1406,270,14,1.8.0,0
7180562,1096361719,1520460960,AI6VN/KH6,BL10rx,-16,14.097119000000001,KD6RF,EM22la,37,0,6162,275,14,1.8.0-rc2,0
22194447,1111477241,1521788040,SA6BSS/RX,JO68,-4,7.040057000000001,G6JVT,IO90,23,0,1264,40,7,1.9.0-rc2,0
6557131,1095739636,1520416200,DF4UE,JN48rr,-26,7.040113000000001,PA3GUV,JO22gd,23,-1,515,136,7,,0
16958473,1106227244,1521285240,NO3M/3,EN91wr,7,0.475652,WA4SZE,EM65,23,0,918,39,0,1.9.0-rc2,0
310529,1089454499,1519892880,K3SIW/5,EN52ta,0,0.47571,K5DNL,EM15lj,37,0,1052,43,0,1.9.0-rc2,0
5027250,1094199812,1520287920,DL4RAJ,JN68kj,-12,0.475617,F6GEX,IN97na,27,0,1039,76,0,1.9.0-rc2,0
24694918,1113989251,1521997320,PE1OUW,JO22jl,-14,10.14018,EA3FLN,JN11nu,23,0,1188,5,10,1.8.0-rc3,0
27389264,1116735052,1522271880,GM4SFW,IO77sn,-10,7.040089,DG0HAB,JO61,37,0,1306,308,7,,0
16255433,1105515015,1521223200,G4GCI,IO90gu,-10,7.040089,LA8FTA,JO59lx,17,1,1278,223,7,1.8.0,0
16412228,1105681323,1521235680,LX1DQ,JN39cq,1,1.8381490000000003,G3ZJG,IO92hq,37,0,624,119,1,1.2 Kiwi,0
27674933,1117027897,1522307280,G4MSA,IO90au,-12,10.14018,OM6RU,JN99pe,23,0,1524,285,10,,0
22325716,1111607101,1521798720,DF4UE,JN48rr,-15,14.097101,RA3III,KO66,23,0,1793,251,14,,0
5056393,1094228613,1520290560,N4TVC,FM18is,-21,10.140178,WT9WT,EM59dt,23,0,1074,92,10,,0
11357078,1100566902,1520829840,VK2XN,QF59ar,-5,14.097117,VK8AR,PG66wh,23,-2,1759,118,14,1.8.0,0
28008870,1117360659,1522338000,G3CWI,IO83wg,-20,14.097060999999998,R1ZA,KP67qn,23,1,2456,247,14,1.8.0,0
14067205,1103307583,1521046080,G3ZIL,IO90hw,-15,10.140211,SA7DLC/M,JO76wo,30,-1,1292,248,10,1.7.0,0
22789615,1112070897,1521831120,DJ8XD,JO52ff,-13,7.040049000000001,G6ORN,IO91jo,33,0,802,80,7,2.12_r3617,0
4613004,1093788540,1520251920,LA3FY/2,JO59ff,-2,7.0401039999999995,OH6MQM,KP12iq,23,1,763,245,7,1.2 Kiwi,0
5539514,1094715971,1520332680,N8VIM,FN42fq,-8,7.040038000000001,WW7KE,DM43dl,43,-1,3624,62,7,1.8.0,0
9642245,1098845976,1520659560,N8VIM,FN42fq,-6,7.040082000000001,EA5AU,IM99tl,37,0,5794,298,7,1.9.0-rc2,0
19286804,1108561440,1521486480,LB3AH,JO59ix,-3,7.040064999999999,M6TTZ,IO92sp,33,0,1065,36,7,1.2 Kiwi,0
24917491,1114211124,1522012680,SWLJO43,JO43xh,-16,7.040149,TF3HZ,HP94ad,27,0,2165,109,7,1.2 Kiwi,0
24424551,1113708775,1521977880,DJ6OL,JO52ap,-5,7.040045,IZ3LWT,JN65ag,40,0,833,351,7,1.8.0,0
846373,1089987986,1519936080,VE3OWV,FN15vk,3,7.040113000000001,VE0EXP,FN74uj,23,-1,945,281,7,1.8.0,0
19388130,1108661356,1521495480,DB9OH,JO52ji,-25,1.8381669999999999,OH4MFA,KP32ng,23,0,1467,229,1,,0
18053059,1107325606,1521381840,LX1DQ,JN39cq,-24,14.097036,DL4QB,JO31qs,37,0,246,200,14,1.2 Kiwi,0
10352654,1099558044,1520736840,DK8JP/1,JO31gk,-27,3.5941160000000005,G0EIY,IO82,23,0,666,96,3,,0
30174816,1119554466,1522518480,DA0CCC,JN49xt,-2,7.040132000000001,G4DEU,IO81sl,33,0,894,97,7,1.8.0,0
2820972,1091974637,1520097360,DK8FT,JN58oe,-1,1.8381919999999998,DK1BN/P,JO30tn,40,0,370,134,1,,0
10471421,1099675145,1520752320,R1LB,KO59ar,-19,10.140134,M0WDG,JO01gi,37,-2,2053,52,10,18.1.0,0
12052408,1101275817,1520884920,DC5AL-R,JO31lk,5,3.5940239999999997,DK8JP,JO31gk,30,0,29,90,3,,0
1249678,1090402571,1519973880,ON4LX,JO10sx,-20,7.040096000000001,UB3AQI,KO85vt,40,-1,2308,271,7,1.8.0,0
